,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,TRA
Car2,0.959,0.041000000000000036,3.152318774704249,4.8983333e-05,9.720212e-06,0.0,0.25,2.2094939,2.5229063,2.2952766,-7.4825687,8.723696,0.46157533,0.056880817,0.09658513246815108,0.029524603836530324,0.2848982,0.044470236,True,WT vs Aire_KO,WT,Aire_KO,True
Mill1,0.9476,0.0524,2.8950257006709337,3.4429326e-05,6.1684545e-06,0.0,0.25,2.207556,2.238432,2.8158603,-7.487587,11.448182,0.28933457,0.020016668,0.11697864960229173,0.012844036697247716,0.23094065,0.018016836,True,WT vs Aire_KO,WT,Aire_KO,True
Grip1,0.9162,0.08379999999999999,2.391801565547517,6.42498e-05,5.718759e-06,0.0,0.25,2.2064636,1.807549,2.2291515,-4.0836897,9.112594,0.533573,0.019349441,0.15591172776747653,0.01701417848206839,0.43019786,0.013276751,False,WT vs Aire_KO,WT,Aire_KO,True
Mt4,0.9508,0.04920000000000002,2.961409919253223,4.4434488e-05,5.029748e-06,0.0,0.25,2.2040915,2.1322813,3.0568304,-6.6715994,11.405666,1.5994304,0.015512922,0.07541414987141855,0.007339449541284408,0.8673241,0.010194577,True,WT vs Aire_KO,WT,Aire_KO,True
Cacnb2,0.9454,0.05459999999999998,2.8515740630356436,2.4073743e-05,3.3882868e-06,0.0,0.25,2.202158,2.1640205,1.981727,-5.193165,10.711701,0.25590357,0.017014166,0.06016386579750077,0.013344453711426198,0.18589523,0.011959123,True,WT vs Aire_KO,WT,Aire_KO,False
Igfbp5,0.9578,0.042200000000000015,3.122218540340339,0.00037670787,0.00013310347,0.0,0.25,2.1992168,2.3843913,2.942783,-7.691432,11.190095,4.128276,1.0472095,0.33969260211712105,0.11626355296079927,3.0782824,0.80873185,True,WT vs Aire_KO,WT,Aire_KO,False
Tmsb15b2,0.9532,0.04679999999999995,3.0139413391167738,2.8747565e-05,4.6945543e-06,0.0,0.25,2.190039,2.2622094,1.6989025,-4.825697,7.8084536,0.11841457,0.0151793035,0.05896776508582083,0.013010842368640543,0.068207175,0.009562926,True,WT vs Aire_KO,WT,Aire_KO,True
Pf4,0.9484,0.05159999999999998,2.911254498449377,3.733137e-05,6.2413706e-06,0.0,0.25,2.1873343,2.338583,1.9555175,-4.5303965,7.619692,0.49452955,0.058215287,0.11153639136414863,0.04286905754795663,0.2745837,0.03442954,True,WT vs Aire_KO,WT,Aire_KO,False
Mid1,0.957,0.04300000000000004,3.1026030536505993,0.0001039706,1.5102017e-05,0.0,0.25,2.173913,1.9371161,1.6107891,-3.5177307,8.167275,1.2440261,0.18415268,0.43227079720115935,0.15195996663886324,0.93930674,0.11952965,True,WT vs Aire_KO,WT,Aire_KO,False
Mecom,0.9522,0.047799999999999954,2.9917492585600054,5.3036303e-05,1.0943842e-05,0.0,0.25,2.172418,2.2372603,1.7326679,-4.5591125,8.544538,0.5519388,0.0518766,0.16960708091621346,0.028690575479566195,0.37341988,0.034956217,True,WT vs Aire_KO,WT,Aire_KO,False
