feature_name,cell_type_tau,TRA,rank
Mpped1,0.9860852,True,830
Vwc2l,0.9860198,True,831
Rhox7a,0.986018,True,832
Rgs20,0.98598063,True,833
Col9a3,0.985976,True,834
Trim40,0.9859492,True,835
Cdh15,0.98594606,True,836
Wfdc6a,0.9859444,True,837
Ppp1r3g,0.98589635,True,838
Prss57,0.98583686,True,839
Map3k21,0.98582476,True,840
Fstl5,0.9858184,True,841
Gucy2f,0.9857959,True,842
Gpa33,0.9857841,True,843
Sec14l3,0.9857753,True,844
Spink8,0.98575145,True,845
Taf7l,0.98574907,True,846
Igfbpl1,0.98574555,True,847
Elovl2,0.98574346,True,848
Tbx15,0.9857374,True,849
Hemgn,0.98573726,True,850
Luzp2,0.9857306,True,851
Tbx20,0.9857113,True,852
Kif6,0.9857083,True,853
Prr9,0.98569274,True,854
Gjb4,0.9856826,True,855
Calml3,0.98564494,True,856
Orm1,0.9856143,True,857
Lce3c,0.98561174,True,858
Sry,0.98559415,True,859
Scgb1a1,0.98558015,True,860
Gml2,0.98556477,True,861
H2-Q1,0.9855611,True,862
Dppa5a,0.9855587,True,863
Fam25c,0.9855582,True,864
Mia,0.9855327,True,865
Gm773,0.9855241,True,866
Olfr111,0.98551816,True,867
9130409I23Rik,0.98551595,True,868
