Ensembl ID,Gene Symbol,Aire_pos_TEC (mean counts),Aire_ko_TEC (mean counts),Fold Change,FDR (BH)
ENSMUSG00000049530,Clrn2,10.56018468,0,0,0.000251234
ENSMUSG00000049537,Tecrl,3.848864522,0,0,0.070403653
ENSMUSG00000049561,Olfr95,3.827359848,0,0,0.070572629
ENSMUSG00000049593,Lce1h,39.77471649,0,0,1.81748E-10
ENSMUSG00000049691,Nkx3-2,9.611408968,0,0,0.001508712
ENSMUSG00000049740,5330417H12Rik,5.767920614,0,0,0.012823075
ENSMUSG00000049796,Crh,125.3393738,0,0,4.80141E-22
ENSMUSG00000050164,Mchr1,14.85386813,0,0,8.46494E-06
ENSMUSG00000050215,Olfr70,3.838112185,0,0,0.070629269
ENSMUSG00000050224,Krtap13,5.751792109,0,0,0.013791145
ENSMUSG00000050328,Hoxc12,9.123580692,0,0,0.000816322
ENSMUSG00000050345,4930486L24Rik,12.47924077,0,0,6.48586E-05
ENSMUSG00000050383,Svs3b,5.773296783,0,0,0.01396446
ENSMUSG00000050534,Htr5b,31.17122108,0,0,8.72006E-11
ENSMUSG00000050612,Txndc2,4.792264063,0,0,0.031104815
ENSMUSG00000050650,Mrgpra1,14.86999663,0,0,1.28169E-05
ENSMUSG00000050704,2310061N02Rik,4.309811955,0,0,0.045388745
ENSMUSG00000050818,Olfr330,23.51650139,0,0,3.36346E-08
ENSMUSG00000050876,Fam75d3,18.1933997,0,0,0.000154778
ENSMUSG00000050901,Mtnr1b,4.304435787,0,0,0.078637418
ENSMUSG00000050917,Fgf4,192.8705135,0,0,3.36191E-41
ENSMUSG00000051038,Rhox11,9.584528125,0,0,0.000653132
ENSMUSG00000051051,Olfr523,24.97998621,0,0,2.11805E-05
ENSMUSG00000051054,1700014D04Rik,11.98066016,0,0,0.000101552
ENSMUSG00000051354,Samd3,13.45489732,0,0,0.000258022
ENSMUSG00000051401,Kctd16,8.630376248,0,0,0.021668053
ENSMUSG00000051726,Kcnf1,31.64829702,0,0,2.88611E-11
ENSMUSG00000051839,Gypa,11.02650828,0,0,0.000170949
ENSMUSG00000051896,1700011F03Rik,7.215276936,0,0,0.003637835
ENSMUSG00000051900,Abca16,11.98603633,0,0,9.03821E-05
ENSMUSG00000051906,Cd209f,19.18518476,0,0,3.38691E-07
ENSMUSG00000051940,5031410I06Rik,13.43876882,0,0,2.46201E-05
ENSMUSG00000051965,Nanos2,10.08848491,0,0,0.000354369
ENSMUSG00000052217,Hbb-bh1,101.2597778,0,0,1.45057E-18
ENSMUSG00000052270,Fpr2,11.50358422,0,0,0.000141101
ENSMUSG00000052382,Rnase9,10.55480851,0,0,0.000317779
ENSMUSG00000052435,Cebpe,21.59206912,0,0,1.26111E-07
ENSMUSG00000052562,Slc22a30,17.28225717,0,0,0.003507626
ENSMUSG00000052848,C130026L21Rik,14.40367303,0,0,0.001496679
ENSMUSG00000053168,9030619P08Rik,58.56346783,0,0,3.30668E-09
ENSMUSG00000053194,Cib4,7.220653105,0,0,0.009361034
ENSMUSG00000053268,Dspp,44.15441863,0,0,4.14341E-14
ENSMUSG00000053624,Gykl1,7.209900768,0,0,0.004185909
ENSMUSG00000053695,Defb37,10.07773257,0,0,0.00044115
ENSMUSG00000053747,Sox14,4.320564292,0,0,0.046802891
ENSMUSG00000053773,Rdh8,19.16905625,0,0,4.60218E-07
ENSMUSG00000053856,Dnajc5g,4.808392568,0,0,0.031013699
ENSMUSG00000053863,Mepe,12.93481203,0,0,6.21754E-05
ENSMUSG00000053868,Gm5142,4.325940461,0,0,0.046458948
ENSMUSG00000054061,Gm9934,7.67622437,0,0,0.005149957
ENSMUSG00000054087,Fbxw14,3.838112185,0,0,0.070629269
ENSMUSG00000054102,Nlrp9a,6.228868048,0,0,0.008930286
ENSMUSG00000054106,Try4,7.681600538,0,0,0.005646643
ENSMUSG00000054272,Zscan4c,5.751792109,0,0,0.013548231
ENSMUSG00000054446,Cpa1,16.77830039,0,0,3.24306E-06
ENSMUSG00000054523,Ms4a5,9.584528125,0,0,0.000598726
ENSMUSG00000054667,Irs4,17.29838567,0,0,1.31001E-06
ENSMUSG00000054714,Gm9954,13.9427256,0,0,0.001696892
ENSMUSG00000054746,Abca15,18.24716138,0,0,5.46093E-07
ENSMUSG00000054958,Nt5c1a,20.16621748,0,0,1.40565E-06
ENSMUSG00000055095,Spink6,26.40583786,0,0,3.46959E-09
ENSMUSG00000055197,Fev,44.55622821,0,0,4.99702E-13
ENSMUSG00000055298,Ctsj,77.32533833,0,0,8.85152E-20
ENSMUSG00000055385,Rnf212,9.107452187,0,0,0.00118665
ENSMUSG00000055489,Ano5,42.2246102,0,0,1.50335E-14
ENSMUSG00000055594,5530400C23Rik,5.280092339,0,0,0.020215933
ENSMUSG00000055636,Olfr965,11.98066016,0,0,7.30367E-05
ENSMUSG00000055679,Ctsr,8.158676477,0,0,0.014435897
ENSMUSG00000055780,Usp26,19.17980859,0,0,4.46834E-06
ENSMUSG00000055874,Foxi3,12.95094054,0,0,3.75335E-05
ENSMUSG00000055895,Plac1l,23.96669648,0,0,1.35709E-08
ENSMUSG00000055933,Gm97,5.757168277,0,0,0.095178718
ENSMUSG00000056128,Gm9991,7.177643757,0,0,0.004279987
ENSMUSG00000056509,Gm9999,20.13396047,0,0,1.86744E-05
ENSMUSG00000056564,Olfr324,12.00216483,0,0,0.000104632
ENSMUSG00000056586,Zar1l,8.153300309,0,0,0.002024672
ENSMUSG00000056696,Olfr1350,8.169428814,0,0,0.002218441
ENSMUSG00000056728,Ctsll3,50.37253434,0,0,1.44669E-15
