,EPI_skin.coarse,ANA_skin.coarse,FIB_skin.coarse,MEL_skin.coarse
Jmjd4,0.009279352612793446,0.017887676134705544,0.0018099150620400906,0.017569996416568756
Zfp867,0.006701334845274687,0.01395842619240284,0.0,0.018674083054065704
Zkscan17,0.02571353130042553,0.02869817614555359,0.018063576892018318,0.007395690307021141
Nlrp3,0.001323392614722252,0.0007339874864555895,0.0,0.0
Olfr222,0.0,0.0,0.0,0.0
Olfr223,0.0,0.0,0.0,0.0
Mprip,0.13513803482055664,0.20915131270885468,0.16362574696540833,0.162661612033844
Gm12264,0.0,0.0021052828524261713,0.0,0.0
Pld6,0.0005296283634379506,0.0038514290936291218,0.0,0.0
Flcn,0.028444865718483925,0.04126487672328949,0.03231007605791092,0.13293801248073578
Gm16062,0.0036617168225347996,0.0130994264036417,0.0,0.06743369996547699
Cops3,0.13759899139404297,0.37065139412879944,0.108866386115551,0.20861069858074188
Nt5m,0.06394672393798828,0.12584690749645233,0.07785508781671524,0.16982457041740417
Gm12714,0.0,0.0,0.0,0.0
1810063I02Rik,0.0,0.0,0.0,0.0
Med9os,0.0020200966391712427,0.0036901712883263826,0.0,0.022999824956059456
Med9,0.1024482250213623,0.22753453254699707,0.10173860937356949,0.2380836009979248
Rasd1,0.08118691295385361,0.049117330461740494,0.2691841125488281,0.022504888474941254
Pemt,0.009815189987421036,0.019850770011544228,0.011187783442437649,0.0298528503626585
Rai1,0.04162450134754181,0.03554953262209892,0.05813906714320183,0.06218642741441727
4930412M03Rik,0.0009308757144026458,0.001244900282472372,0.0,0.0
Srebf1,0.09664701670408249,0.12234176695346832,0.1263190358877182,0.1681477129459381
Tom1l2,0.03570771962404251,0.021109288558363914,0.02038891613483429,0.05471819266676903
Gm12265,0.0,0.0,0.0,0.0
Lrrc48,0.006626141257584095,0.01645037718117237,0.0,0.0
Atpaf2,0.08308705687522888,0.25562044978141785,0.03673059120774269,0.09836488962173462
Gid4,0.08180947601795197,0.10927899181842804,0.05429685115814209,0.08815664798021317
Drg2,0.1075313612818718,0.29605987668037415,0.059060439467430115,0.17404665052890778
Myo15,0.0,0.0,0.0,0.0
Alkbh5,0.06657112389802933,0.12845195829868317,0.0743066594004631,0.21637894213199615
Gm26837,0.0,0.0,0.0,0.0
Llgl1,0.04014145955443382,0.12519554793834686,0.046766411513090134,0.07170601189136505
Flii,0.08272373676300049,0.07904815673828125,0.10526566952466965,0.1588704138994217
Mief2,0.002833084436133504,0.004754526540637016,0.0,0.01916862651705742
Top3a,0.01089437771588564,0.011996332556009293,0.006017048843204975,0.0
Smcr8,0.01455553900450468,0.01201995275914669,0.01980855129659176,0.038905270397663116
Shmt1,0.10396617650985718,0.34138038754463196,0.017930464819073677,0.042704567313194275
Dhrs7b,0.07392914593219757,0.16663804650306702,0.055890507996082306,0.27795377373695374
Tmem11,0.41102251410484314,0.507154643535614,0.24258217215538025,0.29676353931427
Gm26534,0.0008266083314083517,0.004338848404586315,0.0043522873893380165,0.004908487666398287
Natd1,0.011487413197755814,0.018510926514863968,0.005031294655054808,0.05130375921726227
Map2k3os,0.007843191735446453,0.008324907161295414,0.0,0.014825963415205479
Map2k3,0.23336529731750488,0.25233060121536255,0.055641982704401016,0.20188423991203308
Kcnj12,0.0,0.0008744390215724707,0.0,0.04539591073989868
